"X","State.Is.Easing.Social.Distancing.Measures","Stay.at.Home.Order","Mandatory.Quarantine.for.Travelers","Non.Essential.Business.Closures","Large.Gatherings.Ban","School.Closures","Restaurant.Limits","Primary.Election.Postponement","Emergency.Declaration","Version","Face.Covering.Requirement","Status.of.Reopening","Bar.Closures"
"Florida","Yes","Lifted","From Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Other","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
"Georgia","Yes","Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_04",NA,NA,NA
"Hawaii","Yes","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Limited Dine-in Service","-","Yes","2020_06_04",NA,NA,NA
"Idaho","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","Lifted","Recommended Closure","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
"Illinois","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_04",NA,NA,NA
"Indiana","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_04",NA,NA,NA
"Iowa","Yes","-","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
"Kansas","Yes","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Below 25","Closed for School Year","Limited Dine-in Service","-","Yes","2020_06_04",NA,NA,NA
"Kentucky","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Below 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_04",NA,NA,NA
"Louisiana","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_04",NA,NA,NA
"Maine","Yes","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_04",NA,NA,NA
"Maryland","Yes","Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_04",NA,NA,NA
"Massachusetts","Yes","Rolled Back to High Risk Groups","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_04",NA,NA,NA
"Michigan","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_04",NA,NA,NA
"Minnesota","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
"Mississippi","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_04",NA,NA,NA
"Missouri","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_04",NA,NA,NA
"Montana","Yes","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Rescinded","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
"Nebraska","Yes","-","Rolled Back to International Travel","-","Expanded to New Limit of 25","Closed","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
"Nevada","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
"New Hampshire","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
"New Jersey","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed","Closed Except for Takeout/Delivery","Postponed","Yes","2020_06_04",NA,NA,NA
"New Mexico","Yes","Statewide","All Air Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_04",NA,NA,NA
"New York","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","Canceled","Yes","2020_06_04",NA,NA,NA
"North Carolina","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
"North Dakota","Yes","-","All Travelers","All Non-Essential Businesses Permitted to Reopen","-","Closed","Reopened to Dine-in Service","-","Yes","2020_06_04",NA,NA,NA
"Ohio","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_04",NA,NA,NA
"Oklahoma","Yes","High-Risk Groups","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
"Oregon","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_04",NA,NA,NA
"Pennsylvania","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit of 25","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_04",NA,NA,NA
"Rhode Island","Yes","Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_04",NA,NA,NA
"South Carolina","Yes","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen","All Gatherings Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
"South Dakota","Yes","-","-","-","Lifted","Recommended Closure for School Year","-","-","Yes","2020_06_04",NA,NA,NA
"Tennessee","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service","-","Yes","2020_06_04",NA,NA,NA
"Texas","Yes","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
"Utah","Yes","Lifted","Lifted","-","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_04",NA,NA,NA
"Vermont","Yes","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
"Virginia","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_04",NA,NA,NA
"Washington","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Other","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_04",NA,NA,NA
"West Virginia","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_04",NA,NA,NA
"Wisconsin","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_04",NA,NA,NA
"Wyoming","Yes","-","Lifted","-","Expanded to New Limit of 25","Closed","Reopened to Dine-in Service ","-","Yes","2020_06_04",NA,NA,NA
"","Text--narrow","Text--narrow","Text--narrow","Text--wide","Text--narrow","Text","Text","Text--narrow","Text--narrow","2020_06_05",NA,NA,NA
"United States","Yes (51)","Original Stay at Home Order in Place (12); Stay at Home Order Eased or Lifted (33); No Action (6)","Original Traveler Quarantine Mandate in Place (11); Traveler Quarantine Mandate Eased or Lifted (14); No Action (26)","Some or All Non-Essential Businesses Permitted to Reopen (46); No Action (5)","Original Gathering Ban/Limit in Place (14); Gathering Ban/Limit Expanded or Lifted (36); No Action (1)","Closed (7); Closed for School Year (36); Recommended Closure (1); Recommended Closure for School Year (6); Rescinded (1)","Original Restaurant Closures Still in Place (11); Restaurants Reopened to Dine-in Service (39); No Action (1)","Postponed (14); Canceled (1); No (36)","Yes (51); No (0)","2020_06_05",NA,NA,NA
"Alabama","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_05",NA,NA,NA
"Alaska","Yes","Lifted","All Travelers","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service ","-","Yes","2020_06_05",NA,NA,NA
"Arizona","Yes","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"Arkansas","Yes","-","From Certain States","-",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"California","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","All Gatherings Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_05",NA,NA,NA
"Colorado","Yes","Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"Connecticut","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_05",NA,NA,NA
"Delaware","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_05",NA,NA,NA
"District of Columbia","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"Florida","Yes","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"Georgia","Yes","Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_05",NA,NA,NA
"Hawaii","Yes","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Limited Dine-in Service","-","Yes","2020_06_05",NA,NA,NA
"Idaho","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","Lifted","Recommended Closure","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"Illinois","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_05",NA,NA,NA
"Indiana","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_05",NA,NA,NA
"Iowa","Yes","-","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"Kansas","Yes","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Below 25","Closed for School Year","Limited Dine-in Service","-","Yes","2020_06_05",NA,NA,NA
"Kentucky","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Below 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_05",NA,NA,NA
"Louisiana","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_05",NA,NA,NA
"Maine","Yes","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_05",NA,NA,NA
"Maryland","Yes","Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_05",NA,NA,NA
"Massachusetts","Yes","Rolled Back to High Risk Groups","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_05",NA,NA,NA
"Michigan","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_05",NA,NA,NA
"Minnesota","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"Mississippi","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_05",NA,NA,NA
"Missouri","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_05",NA,NA,NA
"Montana","Yes","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Rescinded","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"Nebraska","Yes","-","Rolled Back to International Travel","-","Expanded to New Limit of 25","Closed","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"Nevada","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"New Hampshire","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"New Jersey","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed","Closed Except for Takeout/Delivery","Postponed","Yes","2020_06_05",NA,NA,NA
"New Mexico","Yes","Statewide","All Air Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_05",NA,NA,NA
"New York","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","Canceled","Yes","2020_06_05",NA,NA,NA
"North Carolina","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"North Dakota","Yes","-","All Travelers","All Non-Essential Businesses Permitted to Reopen","-","Closed","Reopened to Dine-in Service","-","Yes","2020_06_05",NA,NA,NA
"Ohio","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_05",NA,NA,NA
"Oklahoma","Yes","High-Risk Groups","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"Oregon","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_05",NA,NA,NA
"Pennsylvania","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit of 25","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_05",NA,NA,NA
"Rhode Island","Yes","Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_05",NA,NA,NA
"South Carolina","Yes","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen","All Gatherings Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"South Dakota","Yes","-","-","-","Lifted","Recommended Closure for School Year","-","-","Yes","2020_06_05",NA,NA,NA
"Tennessee","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service","-","Yes","2020_06_05",NA,NA,NA
"Texas","Yes","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"Utah","Yes","Lifted","Lifted","-","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_05",NA,NA,NA
"Vermont","Yes","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"Virginia","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_05",NA,NA,NA
"Washington","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Other","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_05",NA,NA,NA
"West Virginia","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_05",NA,NA,NA
"Wisconsin","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_05",NA,NA,NA
"Wyoming","Yes","-","Lifted","-","Expanded to New Limit of 25","Closed","Reopened to Dine-in Service ","-","Yes","2020_06_05",NA,NA,NA
"","Text--narrow","Text--narrow","Text--narrow","Text--wide","Text--narrow","Text","Text","Text--narrow","Text--narrow","2020_06_08",NA,NA,NA
"United States","Yes (51)","Original Stay at Home Order in Place (10); Stay at Home Order Eased or Lifted (35); No Action (6)","Original Traveler Quarantine Mandate in Place (10); Traveler Quarantine Mandate Eased or Lifted (15); No Action (26)","Some or All Non-Essential Businesses Permitted to Reopen (46); No Action (5)","Original Gathering Ban/Limit in Place (14); Gathering Ban/Limit Expanded or Lifted (36); No Action (1)","Closed (7); Closed for School Year (36); Recommended Closure (1); Recommended Closure for School Year (6); Rescinded (1)","Original Restaurant Closures Still in Place (8); Restaurants Reopened to Dine-in Service (42); No Action (1)","Postponed (14); Canceled (1); No (36)","Yes (51); No (0)","2020_06_08",NA,NA,NA
"Alabama","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_08",NA,NA,NA
"Alaska","Yes","Lifted","All Travelers","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service ","-","Yes","2020_06_08",NA,NA,NA
"Arizona","Yes","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_08",NA,NA,NA
"Arkansas","Yes","-","From Certain States","-",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_08",NA,NA,NA
"California","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","All Gatherings Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_08",NA,NA,NA
"Colorado","Yes","Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_08",NA,NA,NA
"Connecticut","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_08",NA,NA,NA
"Delaware","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_08",NA,NA,NA
"District of Columbia","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_08",NA,NA,NA
"Florida","Yes","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_08",NA,NA,NA
"Georgia","Yes","Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_08",NA,NA,NA
"Hawaii","Yes","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Limited Dine-in Service","-","Yes","2020_06_08",NA,NA,NA
"Idaho","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","Lifted","Recommended Closure","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_08",NA,NA,NA
"Illinois","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_08",NA,NA,NA
"Indiana","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_08",NA,NA,NA
"Iowa","Yes","-","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_08",NA,NA,NA
"Kansas","Yes","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Below 25","Closed for School Year","Limited Dine-in Service","-","Yes","2020_06_08",NA,NA,NA
"Kentucky","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Below 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_08",NA,NA,NA
